嗚呼,ああ,aa,Ah!;Oh!;Alas!
化する,かする,kasuru,to change into;to convert into;to transform;to be reduced;to influence;to improve (someone)
擦る,かする,kasuru,to touch lightly;to take a percentage (from)
擦る,かする,kasuru,to touch lightly;to take a percentage (from)
擦る,かする,kasuru,to touch lightly;to take a percentage (from)
数,かず,kazu,number;figure
数,かず,kazu,number;figure
火星,かせい,kasei,Mars (planet)
化石,かせき,kaseki,fossil;petrifaction;fossilization
稼ぐ,かせぐ,kasegu,to earn income;to labor
河川,かせん,kasen,rivers
化繊,かせん,kasen,synthetic fibres
下線,かせん,kasen,underline;underscore
風,かぜ,kaze,wind;breeze
風邪,かぜ,kaze,cold (illness);common cold
風,かぜ,kaze,wind;breeze
課税,かぜい,kazei,taxation
過疎,かそ,kaso,depopulation
加速,かそく,kasoku,acceleration
加速度,かそくど,kasokudo,acceleration
数える,かぞえる,kazoeru,to count
家族,かぞく,kazoku,family;members of a family
方,かた,kata,person
型,かた,kata,mold;model;style;shape;data-type
肩,かた,kata,shoulder
方,かた,kata,person
型,かた,kata,mold;model;style;shape;data-type
過多,かた,kata,excess;superabundance
方,かた,kata,person
固い,かたい,katai,stubborn;firm (not viscous or easily moved);certain;solemn
堅い,かたい,katai,hard (esp. wood);steadfast;honorable;stuffy writing
硬い,かたい,katai,solid;hard (esp. metal  stone);unpolished writing
難い,かたい,katai,difficult;hard
難い,かたい,katai,difficult;hard
片思い,かたおもい,kataomoi,unrequited love
片仮名,かたかな,katakana,katakana
方々,かたがた,katagata,persons;this and that;here and there;everywhere;any way;all sides;all gentlemen;all people
方々,かたがた,katagata,persons;this and that;here and there;everywhere;any way;all sides;all gentlemen;all people
敵,かたき,kataki,enemy;rival
気質,かたぎ,katagi,spirit;character;trait;temperament;disposition
片言,かたこと,katakoto,a smattering;talk like a baby;speak haltingly
形,かたち,katachi,form;shape;figure;type
形,かたち,katachi,form;shape;figure;type
片付く,かたづく,kataduku,to put in order;to dispose of;to solve;to finish;to get married
片付け,かたづけ,kataduke,tidying up;finishing
片付ける,かたづける,katadukeru,to tidy up;to put in order;to straighten up;to put away
刀,かたな,katana,sword;blade
傾く,かたぶく,katabuku,to incline toward;to slant;to lurch;to heel over;to be disposed to;to trend toward;to be prone to;to go down (sun);to wane;to sink;to decline
塊,かたまり,katamari,lump;mass;clod;cluster
固まる,かたまる,katamaru,to harden;to solidify;to become firm;to become certain
片道,かたみち,katamichi,one-way (trip)
傾ける,かたむける,katamukeru,to incline;to list;to bend;to lean;to tip;to tilt;to slant;to concentrate on;to ruin (a country);to squander;to empty
固める,かためる,katameru,to harden;to freeze;to fortify
片寄る,かたよる,katayoru,to be one-sided;to incline;to be partial;to be prejudiced;to lean;to be biased
偏る,かたよる,katayoru,to be one-sided;to incline;to be partial;to be prejudiced;to lean;to be biased
語る,かたる,kataru,to talk;to tell;to recite
傍ら,かたわら,katawara,beside(s);while;nearby
課題,かだい,kadai,subject;theme;task
花壇,かだん,kadan,flower bed
勝ち,かち,kachi,win;victory
価値,かち,kachi,value;worth;merit
家畜,かちく,kachiku,domestic animals;livestock;cattle
画期,かっき,kaki,epoch-making
活気,かっき,kaki,energy;liveliness
括弧,かっこ,kako,parenthesis;brackets
格好,かっこう,kakkou,shape;form;posture;suitability;moderateness (in price);appearance;manner
勝手,かって,kate,kitchen;one's own convenience;one's way;selfishness
勝手に,かってに,katteni,arbitrarily;of it's own accord;involuntarily;wilfully;as one pleases
活発,かっぱつ,kappatsu,vigor;active
且つ,かつ,katsu,yet;and
勝つ,かつ,katsu,to win
割,かつ,katsu,divide;cut;halve;separate;split;rip;break;crack;smash;dilute
担ぐ,かつぐ,katsugu,to shoulder;to carry on shoulder
活字,かつじ,katsuji,printing type
嘗て,かつて,katsute,once;ever
活動,かつどう,katsudou,action;activity
活躍,かつやく,katsuyaku,activity
活用,かつよう,katsuyou,conjugation;practical use
活力,かつりょく,katsuryoku,vitality;energy
日付,かづけ,kaduke,date;dating
仮定,かてい,katei,assumption;supposition;hypothesis
家庭,かてい,katei,home;family;household
過程,かてい,katei,process
課程,かてい,katei,course;curriculum
門,かど,kado,gate
仮名,かな,kana,Japanese syllabary (alphabets);kana
家内,かない,kanai,wife
叶う,かなう,kanau,to come true (wish)
叶える,かなえる,kanaeru,to grant (request  wish)
悲しい,かなしい,kanashii,sad;sorrowful
悲しむ,かなしむ,kanashimu,to be sad;to mourn for;to regret
仮名遣い,かなづかい,kanadukai,kana orthography;syllabary spelling
金槌,かなづち,kanaduchi,1.  (iron) hammer; 2.  punishment
鉄棒,かなぼう,kanabou,iron rod;crowbar;horizontal bar (gymnastics)
必ず,かならず,kanarazu,necessarily;certainly;without fail;positively;invariably
必ずしも,かならずしも,kanarazushimo,(not) always;(not) necessarily;(not) all;(not) entirely
可成,かなり,kanari,considerably;fairly;quite
敵わない,かなわない,kanawanai,1.  no match for; 2.  unbearable; 3.  unable;can't do
加入,かにゅう,kanyuu,becoming a member;joining;entry;admission;subscription;affiliation;adherence;signing
金,かね,kane,money;metal
鐘,かね,kane,bell;chime
金,かね,kane,money;metal
金庫,かねぐら,kanegura,safe;vault;treasury;provider of funds
予言,かねごと,kanegoto,prediction;promise;prognostication
加熱,かねつ,kanetsu,heating
兼ねて,かねて,kanete,simultaneously
金持ち,かねもち,kanemochi,rich man
兼ねる,かねる,kaneru,to hold (position);to serve;to be unable;to be beyond one's ability;to combine with;to use with;cannot;to hesitate to;to be impatient
可能,かのう,kanou,possible;practicable;feasible
彼女,かのじょ,kanojyo,she;girl friend;sweetheart
過半数,かはんすう,kahansuu,majority
庇う,かばう,kabau,to protect someone;to take under one's wing;to plead for;to stick up for;to cover up for someone
下番,かばん,kaban,going off duty
下品,かひん,kahin,inferior article
華美,かび,kabi,pomp;splendor;gaudiness
花瓶,かびん,kabin,(flower) vase
花粉,かふん,kafun,pollen
株,かぶ,kabu,share;stock;stump (of tree)
株式,かぶしき,kabushiki,stock (company)
被せる,かぶせる,kabuseru,to cover (with something);to plate something (with a metal);to pour or dash a liquid (on something);to charge (a person with a guilt)
被る,かぶる,kaburu,to wear;to put on (head);to pour or dash water (on oneself)
気触れる,かぶれる,kabureru,to react to;to be influenced by;to go overboard for
貨幣,かへい,kahei,money;currency;coinage
壁,かべ,kabe,wall
釜,かま,kama,iron pot;kettle
構いません,かまいません,kamaimasen,it doesn't matter
構え,かまえ,kamae,posture;pose;style
構える,かまえる,kamaeru,to set up
加味,かみ,kami,seasoning;flavoring
神,かみ,kami,god
紙,かみ,kami,paper
髪,かみ,kami,hair
紙,かみ,kami,paper
噛み切る,かみきる,kamikiru,to bite off;to gnaw through
紙屑,かみくず,kamikuzu,wastepaper
神様,かみさま,kamisama,god
剃刀,かみそり,kamisori,razor
過密,かみつ,kamitsu,crowded
髪の毛,かみのけ,kaminoke,hair (head)
噛む,かむ,kamu,to bite;to chew;to gnaw
瓶,かめ,kame,earthenware pot
科目,かもく,kamoku,(school) subject;curriculum;course
かも知れない,かもしれない,kamoshirenai,may;might;perhaps;may be;possibly
貨物,かもつ,kamotsu,cargo;freight
粥,かゆ,kayu,(rice) gruel
痒い,かゆい,kayui,itchy;itching
通う,かよう,kayou,to commute;to go back and forth
歌謡,かよう,kayou,song;ballad
火曜,かよう,kayou,Tuesday
空,から,kara,emptiness
殻,から,kara,shell;husk;hull;chaff
空,から,kara,emptiness
空,から,kara,emptiness
辛い,からい,karai,hot (spicy);salty;tough (on someone);adverse;harsh
辛い,からい,karai,hot (spicy);salty;tough (on someone);adverse;harsh
辛い,からい,karai,hot (spicy);salty;tough (on someone);adverse;harsh
揶揄う,からかう,karakau,to ridicule;to tease;to banter with;to make fun of
体,からだ,karada,body;health
身体,からだ,karada,the body
体付き,からだつき,karadatsuki,body build;figure
空っぽ,からっぽ,karapo,empty;vacant;hollow
絡む,からむ,karamu,to entangle;to entwine
借り,かり,kari,borrowing;debt;loan
下吏,かり,kari,lower official
借りる,かりる,kariru,to borrow;to have a loan;to hire;to rent;to buy on credit
刈る,かる,karu,to cut (hair);to mow (grass);to harvest;to clip;to shear;to reap;to trim;to prune
軽い,かるい,karui,light;non-serious;minor
加留多,かるた,karuta,(pt:) (n) playing cards (pt: carta)
彼,かれ,kare,he;boyfriend
彼等,かれら,karera,they
涸れる,かれる,kareru,to dry up;to run out
枯れる,かれる,kareru,to wither;to die (plant);to be blasted (plant)
過労,かろう,karou,overwork;strain
辛うじて,かろうじて,karoujite,barely;narrowly;just manage to do st
側,かわ,kawa,side;row;surroundings;part;(watch) case
川,かわ,kawa,river
皮,かわ,kawa,skin;hide;leather;fur;pelt;bark;shell
革,かわ,kawa,leather
可愛い,かわいい,kawaii,pretty;cute;lovely;charming;dear;darling;pet
可愛がる,かわいがる,kawaigaru,to love;to be affectionate
可哀想,かわいそう,kawaisou,poor;pitiable;pathetic
可愛らしい,かわいらしい,kawairashii,lovely;sweet
乾かす,かわかす,kawakasu,to dry (clothes  etc.);to desiccate
乾く,かわく,kawaku,to get dry
渇く,かわく,kawaku,to be thirsty
交わす,かわす,kawasu,to exchange (messages);to dodge;to parry;to avoid;to turn aside
為替,かわせ,kawase,money order;exchange
瓦,かわら,kawara,roof tile
代わり,かわり,kawari,substitute;deputy;proxy;alternate;relief;compensation;second helping
代わる,かわる,kawaru,to take the place of;to relieve;to be substituted for;to be exchanged;to change places with;to take turns;to be replaced
変わる,かわる,kawaru,to change;to be transformed;to vary;to be revised;to be different;to move location
代わる代わる,かわるがわる,kawarugawaru,alternately
乾,かん,kan,heaven;emperor
管,かん,kan,pipe;tube
幹,かん,kan,(tree) trunk
缶,かん,kan,can;tin
勘,かん,kan,perception;intuition;the sixth sense
冠,かん,kan,crown;diadem;first;best;peerless;cap;naming;designating;initiating on coming of age;top character radical
管,かん,kan,pipe;tube
観,かん,kan,look;appearance;spectacle
乾,かん,kan,heaven;emperor
館,かん,kan,house;hall;building;hotel;inn;guesthouse
乾,かん,kan,heaven;emperor
簡易,かんい,kani,simplicity;easiness;quasi-
感覚,かんかく,kankaku,sense;sensation
間隔,かんかく,kankaku,space;interval;SPC
感慨,かんがい,kangai,strong feelings;deep emotion
考え,かんがえ,kangae,thinking;thought;ideas;intention
考える,かんがえる,kangaeru,to consider
寒気,かんき,kanki,cold;frost;chill
換気,かんき,kanki,ventilation
観客,かんきゃく,kankyaku,audience;spectator(s)
環境,かんきょう,kankyou,environment;circumstance
関係,かんけい,kankei,relation;connection
簡潔,かんけつ,kanketsu,brevity;conciseness;simplicity
歓迎,かんげい,kangei,welcome;reception
感激,かんげき,kangeki,deep emotion;impression;inspiration
還元,かんげん,kangen,resolution;reduction;return to origins
刊行,かんこう,kankou,publication;issue
慣行,かんこう,kankou,customary practice;habit;traditional event
観光,かんこう,kankou,sightseeing
勧告,かんこく,kankoku,advice;counsel;remonstrance;recommendation
看護,かんご,kango,nursing;(army) nurse
漢語,かんご,kango,Chinese word;Sino-Japanese word
看護婦,かんごふ,kangofu,nurse
関西,かんさい,kansai,Kansai (south-western half of Japan  including Osaka)
観察,かんさつ,kansatsu,observation;survey
換算,かんさん,kansan,conversion;change;exchange
監視,かんし,kanshi,observation;guarding;inspection;surveillance
感謝,かんしゃ,kansha,thanks;gratitude
慣習,かんしゅう,kanshuu,usual (historical) custom
観衆,かんしゅう,kanshuu,spectators;onlookers;members of the audience
干渉,かんしょう,kanshou,interference;intervention
鑑賞,かんしょう,kanshou,appreciation
感触,かんしょく,kanshoku,sense of touch;feeling;sensation
感心,かんしん,kanshin,admiration;Well done!
関心,かんしん,kanshin,concern;interest
感じ,かんじ,kanji,feeling;sense;impression
漢字,かんじ,kanji,Chinese characters;kanji
患者,かんじゃ,kanjya,a patient
勘定,かんじょう,kanjyou,calculation;counting;consideration;reckoning;settlement of an account;allowance
感情,かんじょう,kanjyou,emotion(s);feeling(s);sentiment
感じる,かんじる,kanjiru,to feel;to sense;to experience
肝心,かんじん,kanjin,essential;fundamental;crucial;vital;main
関する,かんする,kansuru,to concern;to be related
感ずる,かんずる,kanzuru,to feel;to sense
歓声,かんせい,kansei,cheer;shout of joy
完成,かんせい,kansei,1.  complete;completion; 2.  perfection;accomplishment
間接,かんせつ,kansetsu,indirection;indirectness
感染,かんせん,kansen,infection;contagion
幹線,かんせん,kansen,main line;trunk line
関税,かんぜい,kanzei,customs;duty;tariff
完全,かんぜん,kanzen,perfection;completeness
簡素,かんそ,kanso,simplicity;plain
乾燥,かんそう,kansou,dry;arid;insipid;dehydrated
感想,かんそう,kansou,impressions;thoughts
観測,かんそく,kansoku,observation
寒帯,かんたい,kantai,frigid zone
簡単,かんたん,kantan,simple
勘違い,かんちがい,kanchigai,misunderstanding;wrong guess
官庁,かんちょう,kanchou,government office;authorities
缶詰,かんづめ,kandume,packing (in cans);canning;canned goods;tin can
観点,かんてん,kanten,point of view
乾電池,かんでんち,kandenchi,dry cell;battery
関東,かんとう,kantou,Kantou (eastern half of Japan  including Tokyo)
監督,かんとく,kantoku,supervision;control;superintendence
感度,かんど,kando,sensitivity;severity (quake)
感動,かんどう,kandou,being deeply moved emotionally;excitement;impression;deep emotion
観念,かんねん,kannen,1.  idea;notion;conception; 2.  sense (e.g. of duty); 3.  resignation;preparedness;acceptance
看板,かんばん,kanban,sign;signboard;doorplate;poster;billboard;appearance;figurehead;policy;attraction;closing time
乾杯,かんぱい,kanpai,toast (drink)
看病,かんびょう,kanbyou,nursing (a patient)
幹部,かんぶ,kanbu,management;(executive) staff;leaders
勘弁,かんべん,kanben,pardon;forgiveness;forbearance
完璧,かんぺき,kanpeki,perfection;completeness;flawless
感無量,かんむりょう,kanmuryou,deep feeling;inexpressible feeling;filled with emotion
勧誘,かんゆう,kanyuu,invitation;solicitation;canvassing;inducement;persuasion;encouragement
関与,かんよ,kanyo,participation;taking part in;participating in;being concerned in
慣用,かんよう,kanyou,common;customary
寛容,かんよう,kanyou,forbearance;tolerance;generosity
観覧,かんらん,kanran,viewing
管理,かんり,kanri,control;management (e.g. of a business)
官僚,かんりょう,kanryou,bureaucrat;bureaucracy
完了,かんりょう,kanryou,completion;conclusion
慣例,かんれい,kanrei,custom;precedent;of convention
還暦,かんれき,kanreki,60th birthday
関連,かんれん,kanren,relation;connection;relevance
貫禄,かんろく,kanroku,presence;dignity
緩和,かんわ,kanwa,relief;mitigation
漢和,かんわ,kanwa,Chinese Character-Japanese (e.g. dictionary)
害,がい,gai,injury;harm;evil influence;damage
蓋,がい,gai,cover;lid;cap
街,がい,gai,~street;~quarters
外貨,がいか,gaika,imported goods;foreign money
外観,がいかん,gaikan,appearance;exterior;facade
外交,がいこう,gaikou,diplomacy
外国,がいこく,gaikoku,foreign country
外出,がいしゅつ,gaishutsu,outing;going out
外相,がいしょう,gaishou,Foreign Minister
害する,がいする,gaisuru,to injure;to damage;to harm;to kill;to hinder
概説,がいせつ,gaisetsu,general statement;outline
該当,がいとう,gaitou,corresponding;answering to;coming under
街頭,がいとう,gaitou,in the street
概念,がいねん,gainen,general idea;concept;notion
外部,がいぶ,gaibu,the outside;external
外来,がいらい,gairai,imported;outpatient clinic
概略,がいりゃく,gairyaku,outline;summary;gist;in brief
概論,がいろん,gairon,intro;outline;general remarks
画家,がか,gaka,painter;artist
額,がく,gaku,picture (framed);amount or sum (of money)
額,がく,gaku,picture (framed);amount or sum (of money)
額,がく,gaku,picture (framed);amount or sum (of money)
学芸,がくげい,gakugei,arts and sciences;liberal arts
学士,がくし,gakushi,university graduate
学者,がくしゃ,gakusha,scholar
学習,がくしゅう,gakushuu,study
学術,がくじゅつ,gakujyutsu,science;learning;scholarship
学生,がくせい,gakusei,student
学説,がくせつ,gakusetsu,theory
学年,がくねん,gakunen,year in school;grade in school
楽譜,がくふ,gakufu,score (music)
学部,がくぶ,gakubu,department of a university;undergraduate
学問,がくもん,gakumon,scholarship;study;learning
学力,がくりょく,gakuryoku,scholarship;knowledge;literary ability
学歴,がくれき,gakureki,academic background
崖,がけ,gake,cliff
雅致,がち,gachi,artistry;good taste;elegance;grace
学科,がっか,gaka,study subject;course of study
学会,がっかい,gakkai,scientific society;academic meeting
,がっかり,gakkari,feel disappointed;be dejected;lose heart;feel emotionally drained;feel let down
楽器,がっき,gaki,musical instrument
学期,がっき,gaki,term (school)
学級,がっきゅう,gakyuu,grade in school
,がっくり,gakkuri,heartbroken
学校,がっこう,gakkou,school
合唱,がっしょう,gashou,chorus;singing in a chorus
,がっしり,gasshiri,firmly;solidly;tough
合致,がっち,gachi,agreement;concurrence;conforming to
,がっちり,gacchiri,solidly built;tightly;shrewd;calculating
月日,がっぴ,gapi,(the) date
合併,がっぺい,gappei,combination;union;amalgamation;consolidation;merger;coalition;fusion;annexation;affiliation;incorporation
我慢,がまん,gaman,patience;endurance;perseverance;tolerance;self-control;self-denial
,がる,garu,feel
側,がわ,gawa,side;row;surroundings;part;(watch) case
癌,がん,gan,cancer
眼科,がんか,ganka,ophthalmology
眼球,がんきゅう,gankyuu,eyeball
眼鏡,がんきょう,gankyou,spectacles;glasses
頑固,がんこ,ganko,stubbornness;obstinacy
願書,がんしょ,gansho,written application or petition
元日,がんじつ,ganjitsu,New Year's Day
頑丈,がんじょう,ganjyou,solid;firm;stout;burly;strong;sturdy
岩石,がんせき,ganseki,rock
元年,がんねん,gannen,first year (of a specific reign)
頑張る,がんばる,ganbaru,to persist;to insist on;to stand firm;to try one's best
贋物,がんぶつ,ganbutsu,imitation;counterfeit;forgery;sham
元来,がんらい,ganrai,originally;primarily;essentially;logically;naturally
木,き,ki,tree;wood;timber
気,き,ki,spirit;mood
生,き,ki,pure;undiluted;raw;crude
生,き,ki,pure;undiluted;raw;crude
期,き,ki,period;time
気圧,きあつ,kiatsu,atmospheric pressure
黄色い,きいろい,kiiroi,yellow
消える,きえる,kieru,to go out;to vanish;to disappear
記憶,きおく,kioku,memory;recollection;remembrance
気温,きおん,kion,temperature
機会,きかい,kikai,chance;opportunity
機械,きかい,kikai,machine;mechanism
着替える,きかえる,kikaeru,to change one's clothes
企画,きかく,kikaku,planning;project
規格,きかく,kikaku,standard;norm
着飾る,きかざる,kikazaru,to dress up
器官,きかん,kikan,organ (of body);instrument
季刊,きかん,kikan,quarterly (e.g. magazine)
期間,きかん,kikan,period;term
機関,きかん,kikan,organ;mechanism;facility;engine
機関車,きかんしゃ,kikansha,locomotive;engine
危害,きがい,kigai,injury;harm;danger
気兼ね,きがね,kigane,hesitance;diffidence;feeling constraint;fear of troubling someone;having scruples about doing something
気軽,きがる,kigaru,cheerful;buoyant;lighthearted
危機,きき,kiki,crisis
聞き取り,ききとり,kikitori,listening comprehension
効き目,ききめ,kikime,effect;virtue;efficacy;impression
帰京,ききょう,kikyou,returning to Tokyo
基金,ききん,kikin,fund;foundation
飢饉,ききん,kikin,famine
企業,きぎょう,kigyou,enterprise;undertaking
聞く,きく,kiku,to hear;to listen;to ask
効く,きく,kiku,to be effective
器具,きぐ,kigu,utensil
棄権,きけん,kiken,abstain from voting;renunciation of a right
危険,きけん,kiken,danger;peril;hazard
喜劇,きげき,kigeki,comedy;funny show
起源,きげん,kigen,origin;beginning;rise
期限,きげん,kigen,term;period
機嫌,きげん,kigen,humour;temper;mood
機構,きこう,kikou,mechanism;organization
気候,きこう,kikou,climate
聞こえる,きこえる,kikoeru,to be heard;to be audible
既婚,きこん,kikon,marriage;married
記号,きごう,kigou,symbol;code
記載,きさい,kisai,mention;entry
気障,きざ,kiza,affectation;conceit;snobbery
兆し,きざし,kizashi,signs;omen;symptoms
兆,きざし,kizashi,signs;omen;symptoms
刻む,きざむ,kizamu,to mince;to carve;to engrave;to cut fine;to chop up;to hash;to chisel;to notch
岸,きし,kishi,bank;coast;shore
軋む,きしむ,kishimu,to jar;to creak;to grate
汽車,きしゃ,kisha,train (steam)
記者,きしゃ,kisha,reporter
気象,きしょう,kishou,weather;climate
起床,きしょう,kishou,rising;getting out of bed
生地,きじ,kiji,cloth;material;texture;ones true character;unglazed pottery
記事,きじ,kiji,article;news story;report;account
期日,きじつ,kijitsu,fixed date;settlement date
記述,きじゅつ,kijyutsu,describing;descriptor
基準,きじゅん,kijyun,standard;basis;criteria;norm
奇数,きすう,kisuu,odd number
傷,きず,kizu,wound;injury;hurt;cut;gash;bruise;scratch;scar;weak point
築く,きずく,kizuku,to build;to pile up;to amass
傷付く,きずつく,kizutsuku,to be hurt;to be wounded;to get injured
傷付ける,きずつける,kizutsukeru,to wound;to hurt someone's feelings
規制,きせい,kisei,regulation
季節,きせつ,kisetsu,season
着せる,きせる,kiseru,to put on clothes
汽船,きせん,kisen,steamship
基礎,きそ,kiso,foundation;basis
寄贈,きそう,kisou,donation;presentation
規則,きそく,kisoku,rule;regulations
貴族,きぞく,kizoku,noble;aristocrat
北,きた,kita,North
期待,きたい,kitai,expectation;anticipation;hope
気体,きたい,kitai,vapour;gas
鍛える,きたえる,kitaeru,to forge;to drill;to temper;to train;to discipline
帰宅,きたく,kitaku,returning home
汚い,きたない,kitanai,dirty;unclean;filthy
来る,きたる,kitaru,to come;to arrive;to be due to;to be next;to be forthcoming
来る,きたる,kitaru,to come;to arrive;to be due to;to be next;to be forthcoming
気立て,きだて,kidate,disposition;nature
基地,きち,kichi,base
,きちっと,kichito,exactly;perfectly
貴重,きちょう,kichou,precious;valuable
几帳面,きちょうめん,kichoumen,methodical;punctual;steady
,きちんと,kichinto,precisely;accurately
切っ掛け,きっかけ,kikkake,chance;start;cue;excuse;motive;impetus;occasion
,きっかり,kikkari,exactly;precisely
喫茶,きっさ,kisa,tea drinking;tea house
,きっちり,kicchiri,precisely;tightly
切手,きって,kite,stamp (postage);merchandise certificate
屹度,きっと,kito,1.  (uk) surely;undoubtedly;certainly;without fail; 2.  sternly;severely
,きっぱり,kippari,clearly;plainly;distinctly
切符,きっぷ,kipu,ticket
,きつい,kitsui,tight;close;intense
気付く,きづく,kiduku,to notice;to become aware of;to perceive;to realize
規定,きてい,kitei,regulation;provisions
起点,きてん,kiten,starting point
軌道,きどう,kidou,orbit;railroad track
気に入る,きにいる,kiniiru,to be pleased with;to suit
記入,きにゅう,kinyuu,entry;filling in of forms
絹,きぬ,kinu,silk
記念,きねん,kinen,commemoration;memory
昨日,きのう,kinou,yesterday
機能,きのう,kinou,function;faculty
甲,きのえ,kinoe,1st in rank;first sign of the Chinese calendar;shell;instep;grade A
気の毒,きのどく,kinodoku,pitiful;a pity
気配,きはい,kihai,indication;market trend;worry
規範,きはん,kihan,model;standard;pattern;norm;criterion;example
基盤,きばん,kiban,foundation;basis
気品,きひん,kihin,aroma
厳しい,きびしい,kibishii,severe;strict;stern;austere;grave;solemn;majestic;intense (cold)
寄付,きふ,kifu,contribution;donation
気風,きふう,kifuu,character;traits;ethos
起伏,きふく,kifuku,undulation
気分,きぶん,kibun,feeling;mood
基本,きほん,kihon,foundation;basis;standard
規模,きぼ,kibo,scale;scope;plan;structure
希望,きぼう,kibou,hope;wish;aspiration
気まぐれ,きまぐれ,kimagure,whim;caprice;whimsy;fickle;moody;uneven temper
生真面目,きまじめ,kimajime,too serious;person who is too serious;honesty;sincerity
期末,きまつ,kimatsu,end of term
決まり,きまり,kimari,settlement;conclusion;regulation;rule;custom
決まり悪い,きまりわるい,kimariwarui,feeling awkward;being ashamed
決まる,きまる,kimaru,to be decided;to be settled;to look good in (clothes)
君,きみ,kimi,you (masc. term for female)
気味,きみ,kimi,sensation;feeling
気味,きみ,kimi,sensation;feeling
君,きみ,kimi,you (masc. term for female)
奇妙,きみょう,kimyou,strange;queer;curious
記名,きめい,kimei,signature;register
決める,きめる,kimeru,to decide
気持ち,きもち,kimochi,feeling;sensation;mood
着物,きもの,kimono,kimono
客,きゃく,kyaku,guest;customer
脚色,きゃくしょく,kyakushoku,dramatization (e.g. film)
客席,きゃくせき,kyakuseki,guest seating
脚本,きゃくほん,kyakuhon,scenario
客間,きゃくま,kyakuma,parlor;guest room
客観,きゃっかん,kyakkan,objective
規約,きやく,kiyaku,agreement;rules;code
九,きゅう,kyuu,(num) nine
旧,きゅう,kyuu,ex-
級,きゅう,kyuu,class  grade  rank;school class  grade
球,きゅう,kyuu,globe;sphere;ball
九,きゅう,kyuu,(num) nine
救援,きゅうえん,kyuuen,relief;rescue;reinforcement
休暇,きゅうか,kyuuka,holiday;day off;furlough
休学,きゅうがく,kyuugaku,temporary absence from school;suspension
究極,きゅうきょく,kyuukyoku,ultimate;final;eventual
休業,きゅうぎょう,kyuugyou,closed (e.g. store);business suspended;shutdown;holiday
窮屈,きゅうくつ,kyuukutsu,narrow;tight;stiff;rigid;uneasy;formal;constrained
休憩,きゅうけい,kyuukei,rest;break;recess;intermission
急激,きゅうげき,kyuugeki,sudden;precipitous;radical
急行,きゅうこう,kyuukou,express (e.g. train that bypasses many stations)
休講,きゅうこう,kyuukou,lecture cancelled
球根,きゅうこん,kyuukon,(plant) bulb
救済,きゅうさい,kyuusai,relief;aid;rescue;salvation;help
吸収,きゅうしゅう,kyuushuu,absorption;suction;attraction
給食,きゅうしょく,kyuushoku,school lunch;providing a meal
給仕,きゅうじ,kyuuji,office boy (girl);page;waiter
救助,きゅうじょ,kyuujyo,relief;aid;rescue
休戦,きゅうせん,kyuusen,truce;armistice
急速,きゅうそく,kyuusoku,rapid (e.g. progress)
休息,きゅうそく,kyuusoku,rest;relief;relaxation
旧知,きゅうち,kyuuchi,old friend;old friendship
宮殿,きゅうでん,kyuuden,palace
窮乏,きゅうぼう,kyuubou,poverty
給与,きゅうよ,kyuuyo,allowance;grant;supply
休養,きゅうよう,kyuuyou,rest;break;recreation
丘陵,きゅうりょう,kyuuryou,hill
給料,きゅうりょう,kyuuryou,salary;wages
共,きょう,kyou,both;neither (neg);all;and;as well as;including;with;together with;plural ending
今日,きょう,kyou,today;this day
今日,きょう,kyou,today;this day
供,きょう,kyou,offer;present;submit;serve (a meal);supply
供,きょう,kyou,offer;present;submit;serve (a meal);supply
驚異,きょうい,kyoui,wonder;miracle
教育,きょういく,kyouiku,training;education
教員,きょういん,kyouin,teaching staff
教科,きょうか,kyouka,subject;curriculum
強化,きょうか,kyouka,strengthen;intensify;reinforce;solidify
協会,きょうかい,kyoukai,association;society;organization
教会,きょうかい,kyoukai,church
境界,きょうかい,kyoukai,boundary
教科書,きょうかしょ,kyoukasho,text book
共感,きょうかん,kyoukan,sympathy;response
共学,きょうがく,kyougaku,coeducation
供給,きょうきゅう,kyoukyuu,supply;provision
協議,きょうぎ,kyougi,conference;consultation;discussion;negotiation
競技,きょうぎ,kyougi,game;match;contest
教訓,きょうくん,kyoukun,lesson;precept;moral instruction
境遇,きょうぐう,kyouguu,environment;circumstances
強行,きょうこう,kyoukou,forcing;enforcement
強硬,きょうこう,kyoukou,firm;vigorous;unbending;unyielding;strong;stubborn
凶作,きょうさく,kyousaku,bad harvest;poor crop
共産,きょうさん,kyousan,communism
教材,きょうざい,kyouzai,teaching materials
教師,きょうし,kyoushi,teacher (classroom)
教室,きょうしつ,kyoushitsu,classroom
教習,きょうしゅう,kyoushuu,training;instruction
郷愁,きょうしゅう,kyoushuu,nostalgia;homesickness
恐縮,きょうしゅく,kyoushuku,shame;very kind of you;sorry to trouble
教職,きょうしょく,kyoushoku,teaching certificate;the teaching profession
享受,きょうじゅ,kyoujyu,reception;acceptance;enjoyment;being given
教授,きょうじゅ,kyoujyu,teaching;instruction;professor
興じる,きょうじる,kyoujiru,to amuse oneself;to make merry
強制,きょうせい,kyousei,obligation;coercion;compulsion;enforcement
競争,きょうそう,kyousou,competition;contest
共存,きょうそん,kyouson,coexistence
兄弟,きょうだい,kyoudai,siblings
姉妹,きょうだい,kyoudai,sisters
協調,きょうちょう,kyouchou,co-operation;conciliation;harmony;firm (market) tone
強調,きょうちょう,kyouchou,emphasis;stress;stressed point
